000,----,--,--,--,city                 ,latitude   ,longitude   ,studieverblijf,standplaats,zonder verankering,kort verblijf
201,-¶¶¶,NA,US,NC,DURHAM NC            ,35.994033  ,-78.898619  ,-,-,1,1
202,----,NA,US,NC,Durham NC            ,-          ,-           ,-,-,Noël Salazar,-
203,----,NA,US,NC,Durham NC            ,-          ,-           ,-,-,-,Ann Dooms
204,-¶¶¶,NA,US,NC,CHAPEL HILL NC       ,35.9132    ,-79.055845  ,-,-,-,1
205,----,NA,US,NC,Chapel Hill NC       ,-          ,-           ,-,-,-,Lieve Van Hoof
206,--¶¶,NA,US,NJ,NEW JERSEY           ,-          ,-           ,-,-,1,2
207,-¶¶¶,NA,US,NJ,PRINCETON NJ         ,40.357298  ,-74.667223  ,-,-,1,2
208,----,NA,US,NJ,Princeton NJ         ,-          ,-           ,-,-,Koen De Temmerman,-
209,----,NA,US,NJ,Princeton NJ         ,-          ,-           ,-,-,-,Ann Dooms
210,----,NA,US,NJ,Princeton NJ         ,-          ,-           ,-,-,-,Giovanni Samaey
211,--¶¶,NA,US,NY,NEW YORK             ,-          ,-           ,-,-,-,2
212,-¶¶¶,NA,US,NY,NEW YORK NY          ,40.712784  ,-74.005941  ,-,-,-,1
213,----,NA,US,NY,New York NY          ,-          ,-           ,-,-,-,Violet Soen
214,-¶¶¶,NA,US,NY,ITHACA NY            ,42.443961  ,-76.501881  ,-,-,-,1
215,----,NA,US,NY,Ithaca NY            ,-          ,-           ,-,-,-,Korneel Rabaey
216,--¶¶,NA,US,IL,ILLINOIS             ,-          ,-           ,-,-,-,2
217,-¶¶¶,NA,US,IL,CHICAGO IL           ,41.878114  ,-87.629798  ,-,-,-,1
218,----,NA,US,IL,Chicago IL           ,-          ,-           ,-,-,-,Koen Brosens
219,-¶¶¶,NA,US,IL,URBANA-CHAMPAIGN IL  ,40.110588  ,-88.20727   ,-,-,-,1
220,----,NA,US,IL,Urbana-Champaign IL  ,-          ,-           ,-,-,-,Ann Dooms
221,--¶¶,NA,US,OH,OHIO                 ,-          ,-           ,-,-,-,2
222,-¶¶¶,NA,US,OH,CINCINNATI OH        ,39.103118  ,-84.51202   ,-,-,-,2
223,----,NA,US,OH,Cincinnati OH        ,-          ,-           ,-,-,-,Lieve Van Hoof
224,----,NA,US,OH,Cincinnati OH        ,-          ,-           ,-,-,-,Peter Van Nuffelen
225,--¶¶,NA,US,WA,WASHINGTON           ,-          ,-           ,-,1,-,1
226,-¶¶¶,NA,US,WA,SEATTLE WA           ,47.60621   ,-122.332071 ,-,1,-,1
227,----,NA,US,WA,Seattle WA           ,-          ,-           ,-,Peter Van Aelst,-,-
228,----,NA,US,WA,Seattle WA           ,-          ,-           ,-,-,-,Niel Hens
229,--¶¶,NA,US,MN,MINNESOTA            ,-          ,-           ,-,-,1,1
230,-¶¶¶,NA,US,MN,MINNEAPOLIS MN       ,44.977753  ,-93.265011  ,-,-,1,1
231,----,NA,US,MN,Minneapolis MN       ,-          ,-           ,-,-,Simon De Meyer,-
232,----,NA,US,MN,Minneapolis MN       ,-          ,-           ,-,-,-,Simon De Meyer
233,--¶¶,NA,US,DE,DELAWARE             ,-          ,-           ,1,-,1,-
234,-¶¶¶,NA,US,DE,NEWARK DE            ,39.683723  ,-75.749657  ,1,-,1,-
235,----,NA,US,DE,Newark DE            ,-          ,-           ,Wim Thielemans,-,-,-
236,----,NA,US,DE,Newark DE            ,-          ,-           ,-,-,Wim Thielemans,-
237,--¶¶,NA,US,MD,MARYLAND             ,-          ,-           ,-,-,-,1
238,-¶¶¶,NA,US,MD,BALTIMORE MD         ,39.290385  ,-76.612189  ,-,-,-,1
239,----,NA,US,MD,Baltimore MD         ,-          ,-           ,-,-,-,Johan Meyers
240,--¶¶,NA,US,MO,MISSOURI             ,-          ,-           ,-,-,-,1
241,-¶¶¶,NA,US,MO,ST. LOUIS MO         ,38.627003  ,-90.199404  ,-,-,-,1
242,----,NA,US,MO,St. Louis MO         ,-          ,-           ,-,-,-,Jan Aerts
243,--¶¶,NA,US,MA,MASSACHUSETTS        ,-          ,-           ,-,1,-,-
244,-¶¶¶,NA,US,MA,CAMBRIDGE MA         ,42.373616  ,-71.109733  ,-,1,-,-
245,----,NA,US,MA,Cambridge MA         ,-          ,-           ,-,Hans Op de Beeck,-,-
246,--¶¶,NA,US,OR,OREGON               ,-          ,-           ,-,-,1,-
247,-¶¶¶,NA,US,OR,PORTLAND OR          ,45.523062  ,-122.676482 ,-,-,1,-
248,----,NA,US,OR,Portland OR          ,-          ,-           ,-,-,Marian Verhelst,-
249,--¶¶,NA,US,DC,DISTRICT OF COLUMBIA ,-          ,-           ,-,1,-,-
250,-¶¶¶,NA,US,DC,WASHINGTON DC        ,38.895111  ,-77.036667  ,-,1,-,-
251,----,NA,US,DC,Washington DC        ,-          ,-           ,-,Goedele De Clerck,-,-
252,--¶¶,NA,CA,--,CANADA               ,-          ,-           ,-,-,-,1
253,-¶¶¶,NA,CA,--,OTTAWA               ,45.420833  ,-75.69      ,-,-,-,1
254,----,NA,CA,--,Ottawa               ,-          ,-           ,-,-,-,Stefanie Dedeurwaerdere
255,---¶,ZA,--,--,ZUID-AMERIKA         ,-          ,-           ,-,1,-,7
256,--¶¶,ZA,BR,--,BRAZILIË             ,-          ,-           ,-,1,-,4
257,-¶¶¶,ZA,BR,--,SÃO PAULO            ,-23.55052  ,-46.633309  ,-,1,-,1
258,----,ZA,BR,--,São Paulo            ,-          ,-           ,-,Mathieu Vinken,-,-
259,----,ZA,BR,--,São Paulo            ,-          ,-           ,-,-,-,Ann Dooms
260,-¶¶¶,ZA,BR,--,RIO DE JANEIRO       ,-22.906847 ,-43.172896  ,-,-,-,2
261,----,ZA,BR,--,Rio de Janeiro       ,-          ,-           ,-,-,-,Ann Dooms
262,----,ZA,BR,--,Rio de Janeiro       ,-          ,-           ,-,-,-,Tine Huyse
263,-¶¶¶,ZA,BR,--,LAVRAS               ,-21.245    ,-45         ,-,-,-,1
264,----,ZA,BR,--,Lavras               ,-          ,-           ,-,-,-,Ann Dooms
265,--¶¶,ZA,CL,--,CHILI                ,-          ,-           ,-,-,-,1
266,-¶¶¶,ZA,CL,--,SANTIAGO DE CHILE    ,-33.45     ,-70.666667  ,-,-,-,1
267,----,ZA,CL,--,Santiago de Chile    ,-          ,-           ,-,-,-,Noël Salazar
268,--¶¶,ZA,CU,--,CUBA                 ,-          ,-           ,-,-,-,1
269,-¶¶¶,ZA,CU,--,HAVANA               ,23.159167  ,-82.271056  ,-,-,-,1
270,----,ZA,CU,--,Havana               ,-          ,-           ,-,-,-,Niel Hens
271,--¶¶,ZA,EC,--,ECUADOR              ,-          ,-           ,-,-,-,1
272,-¶¶¶,ZA,EC,--,LOJA                 ,-3.983333  ,-79.2       ,-,-,-,1
